4) Specifica il codice ISTAT del tuo comune,6) Il tuo territorio ha problemi di connettività a internet? ,"7) Il tuo sindaco o un assessore, ti ha incontrato come Digital Champion?","8) Il comune durante il 2014-15, ha organizzato o finanzia iniziative per aumentare la cultura digitale?",10) C'è e come ci si registra al wi fi pubblico nel comune di cui sei DC?,"11) Il wi fi pubblico, per quanto tempo è accessibile al giorno?",12) Hai verificato la qualità del sito web del tuo comune?   ,13) Quali servizi on line ci sono?,14) Il tuo comune è presente su facebook? E come viene gestito?,15) Il tuo comune è presente su twitter e come viene gestito? *,18) Il tuo comune rilascia dati in formato aperto e riusabile (open data) *,C'è una comunità che organizza Coderdojo? Quanto è attiva?,20) Ci sono iniziative di alfabetizzazione digitale?  *,22) Puoi segnalare quante startup innovative ci sono nella provincia del tuo comune?,23) Puoi segnalare quanti incubatori registrati ci sono nel tuo comune?,"25) Ci sono altri spazi adibiti alla promozione del digitale come coworking, fablab e altro?  *",29) Quale priorità segnali per il tuo comune?  *,Comune,Provincia,Regione,Grandezza_comune,Abitanti,,,,,,,,,,,,,,,,,,,,,,,,,,Scegli un tema che vorresti approfondire come digital champion
110009,la connettività non supera i 20 Megabit,La giunta si è appena insediata,"no, non hai mai organizzato nulla",tramite mail,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,c'è stata una iniziativa,Ci sono iniziative per l’alfabetizzazione verso giovani,3,0,C' una libreria che organizza laboratori digitali per bambini,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare formazione di tecnologie open source, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Trani,BT,PUG,GRANDE,53940,,,,,,,,,,,,,,,,,,,,,,,,,,
110008,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Spinazzola,BT,PUG,MEDIO,6908,,,,,,,,,,,,,,,,,,,,,,,,,,
110007,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,3,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare le politiche a supporto delle startup",San Ferdinando di Puglia,BT,PUG,MEDIO,14894,,,,,,,,,,,,,,,,,,,,,,,,,,
110003,in alcune zone,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,nessun wi fi,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Pagamento online tasse e tariffe comunali, Pagamento multe, rilascio certificazione anagrafica",non è presente su facebook,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,2,nessuno,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, avviare coderdojo",Bisceglie,BT,PUG,GRANDE,54847,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,la connettività non supera i 100 Megabit,sono io l'assessore all'innovazione tecnologica,"si, ha organizzato eventi e ha un'agenda digitale",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Sportello Unico online",è presente e risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,saltuariamente vengono organizzati,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",1,0,in allestimento,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup",Andria,BT,PUG,GRANDE,100086,,,,,,,,,,,,,,,,,,,,,,,,,,
109034,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,non c'è,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico",Porto Sant'Elpidio,FM,MAR,MEDIO,25684,,,,,,,,,,,,,,,,,,,,,,,,,,
109032,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,Non c'è,fino a 10 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Ponzano di Fermo,FM,MAR,PICCOLO,1733,,,,,,,,,,,,,,,,,,,,,,,,,,
109006,Non abbiamo problemi di connettività,no,"si, ha organizzato 1 evento",ci stanno lavorando,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,10,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Fermo,FM,MAR,GRANDE,37834,,,,,,,,,,,,,,,,,,,,,,,,,,
108054,la connettività non supera i 20 Megabit,stiamo avviando i colloqui,"no, non hai mai organizzato nulla",L'unico accesso al wifi pubblico è presso la biblioteca comunale,negli orari di apertura della biblioteca,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Pagamento online tasse e tariffe comunali",non è presente su facebook,non è presente su  twitter,esiste una sezione o portale open data con dataset di vari uffici aggiornati e con infografiche di supporto,non c'è nel mio comune,Non c'è stata nessuna iniziativa,36,nessuno,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Lentate sul Seveso,MB,LOM,MEDIO,15572,,,,,,,,,,,,,,,,,,,,,,,,,,
108050,Non abbiamo problemi di connettività,"dopo una mia prima presentazione spontanea, ho inviato diversi solleciti per altri incontri, ma non c'è stato seguito","si, ha organizzato più eventi",non c'è nessun servizio di wi fi pubblico,non c'è wifi del comune (c'è della biblioteca),oltre 60 indicatori soddisfatti,"Servizi informativi per situazioni di emergenza, newsletter","non è presente su facebook, è presente ma non risponde a commenti e domande",non è presente su  twitter,non esiste una sezione open data,saltuariamente vengono organizzati,Saltuariamente vengono organizzati incontri ma nulla di continuativo,39,0,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Vimercate,MB,LOM,MEDIO,25758,,,,,,,,,,,,,,,,,,,,,,,,,,
108049,la connettività non supera i 20 Megabit,non ancora ma c'è stato uno scambio di email,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 50 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe, URP online, Sportello Unico online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Villasanta,MB,LOM,MEDIO,13590,,,,,,,,,,,,,,,,,,,,,,,,,,
108039,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",accesso tramite Facebook o Twitter,massimo 1h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Pagamento online tasse e tariffe comunali, URP online, Sportello Unico online",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,non esiste una sezione open data,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso anziani,3,1,si,avviare coderdojo,Seregno,MB,LOM,GRANDE,43163,,,,,,,,,,,,,,,,,,,,,,,,,,
